Model,parameter,value,deviation (x),deviation (v)
newell,max_vel,12,4972.819996,1.876608138
newell,max_vel,14,2156.187099,1.079938038
newell,max_vel,16,0,0
newell,max_vel,18,1650.102344,1.215753543
newell,max_vel,20,2918.109867,1.820669513
newell,max_vel,22,3916.945019,2.290899068
newell,max_vel,24,4718.347687,2.677522996
newell,max_vel,26,5370.922198,3.001874883
newell,max_vel,28,5907.929199,3.272804982
newell,max_vel,30,6353.997501,3.504611322
newell,max_vel,32,6730.55507,3.709980886
newell,max_vel,34,7053.335077,3.893298122
newell,max_vel,36,7333.53885,4.05804082
newell,max_vel,38,7579.349293,4.207657187
newell,max_vel,40,7796.954111,4.345251078
newell,sens,0.52,4813.943936,1.703330647
newell,sens,0.538571429,4222.55988,1.519989583
newell,sens,0.557142857,3648.54809,1.341507545
newell,sens,0.575714286,3091.347073,1.167280011
newell,sens,0.594285714,2550.401555,0.996375882
newell,sens,0.612857143,2025.164204,0.827229121
newell,sens,0.631428571,1515.097695,0.657158174
newell,sens,0.65,1019.677129,0.481155754
newell,sens,0.668571429,538.3931243,0.28717028
newell,sens,0.687142857,70.76022649,0.043104033
newell,sens,0.705714286,383.6491979,0.21729412
newell,sens,0.724285714,825.2374198,0.41277745
newell,sens,0.742857143,1254.447223,0.574812491
newell,sens,0.761428571,1671.722549,0.719525999
newell,sens,0.78,2077.494063,0.852870327
newell,jam_dis,4.5,1131.182166,5.58E-12
newell,jam_dis,4.571428571,1048.734487,5.52E-12
newell,jam_dis,4.642857143,966.2868068,5.27E-12
newell,jam_dis,4.714285714,883.839127,5.13E-12
newell,jam_dis,4.785714286,801.3914473,3.86E-12
newell,jam_dis,4.857142857,718.9437675,5.07E-12
newell,jam_dis,4.928571429,636.4960878,4.95E-12
newell,jam_dis,5,554.048408,5.04E-12
newell,jam_dis,5.071428571,471.6007282,4.99E-12
newell,jam_dis,5.142857143,389.1530485,4.71E-12
newell,jam_dis,5.214285714,306.7053687,4.43E-12
newell,jam_dis,5.285714286,224.2576889,3.01E-12
newell,jam_dis,5.357142857,141.8100092,4.52E-12
newell,jam_dis,5.428571429,59.36232943,4.21E-12
newell,jam_dis,5.5,23.08535033,4.28E-12
bando,max_vel,12,20061.07832,13.12115592
bando,max_vel,14,15956.76014,12.69868475
bando,max_vel,16,12570.28541,12.41597752
bando,max_vel,18,10066.03774,12.433898
bando,max_vel,20,8092.895472,12.45680985
bando,max_vel,22,6476.249868,12.33909311
bando,max_vel,24,5119.433149,12.25770185
bando,max_vel,26,3912.246143,11.87338371
bando,max_vel,28,2822.041719,11.35592306
bando,max_vel,30,1733.719635,11.22092048
bando,max_vel,32,681.2674488,10.75476381
bando,max_vel,34,350.7332687,8.50159334
bando,max_vel,36,1379.145125,13.42973688
bando,max_vel,38,2406.842782,14.86937386
bando,max_vel,40,3424.417345,15.99945642
bando,ds,12,4206.09484,14.45660993
bando,ds,12.42857143,3591.938186,14.0618903
bando,ds,12.85714286,2971.490924,13.66517682
bando,ds,13.28571429,2374.151727,13.36957049
bando,ds,13.71428571,1780.678562,12.68046394
